Date,Business Name,Business Type,Location,Status2026-08-07 16:11,graduate momos,momos,bhilai,SUCCESS
2026-08-07 16:56,graduate momo wala,momo,bhilai,SUCCESS
2026-08-07 18:21,Graduate Momo Wala,Restaurant,Bhilai,SUCCESS
2026-08-07 19:18,VICKYAI AGENCY,AI AGENCY,BHILAI,SUCCESS
2026-08-07 19:25,Graduate Momo Wala,Restaurant,Bhilai,SUCCESS
2026-08-07 21:28,Graduate Momo Wala,Restaurant,Bhilai,SUCCESS
2026-08-07 21:37,Graduate Momo Wala,Restaurant,Bhilai,SUCCESS
2026-08-08 08:45,Graduate Momo Wala,Restaurant,Bhilai,SUCCESS
2026-08-08 15:28,Grand Dhillon,restaurant,bhilai,SUCCESS
2026-08-08 21:20,Grand Dhillon,restaurant,bhilai,SUCCESS
2026-08-08 21:20,Dashmesh Dhaba,restaurant,bhilai,SUCCESS
2026-08-09 10:43,Grand Dhillon,restaurant,bhilai,SUCCESS
2026-08-09 10:43,Dashmesh Dhaba,restaurant,bhilai,SUCCESS
2026-08-09 10:45,Bhadohi Chat Corner,restaurant,bhilai,SUCCESS
2026-08-09 10:45,Juice factory,restaurant,bhilai,SUCCESS
2026-08-09 10:46,new nanhe cafe,restaurant,bhilai,SUCCESS
